state,date,sex,ethnicity,abs
Johor,1/1/2000,both,overall,67183
Johor,1/1/2001,both,overall,61432
Johor,1/1/2002,both,overall,59699
Johor,1/1/2003,both,overall,58230
Johor,1/1/2004,both,overall,57339
Johor,1/1/2005,both,overall,56524
Johor,1/1/2006,both,overall,56737
Johor,1/1/2007,both,overall,57780
Johor,1/1/2008,both,overall,57838
Johor,1/1/2009,both,overall,57849
Johor,1/1/2010,both,overall,56064
Johor,1/1/2011,both,overall,58167
Johor,1/1/2012,both,overall,60444
Johor,1/1/2013,both,overall,57402
Johor,1/1/2014,both,overall,60443
Johor,1/1/2015,both,overall,60543
Johor,1/1/2016,both,overall,59561
Johor,1/1/2017,both,overall,61085
Johor,1/1/2018,both,overall,61084
Johor,1/1/2019,both,overall,60261
Johor,1/1/2020,both,overall,56908
Johor,1/1/2021,both,overall,49990
Johor,1/1/2022,both,overall,48254
Johor,1/1/2023,both,overall,56156
Kedah,1/1/2000,both,overall,41014
Kedah,1/1/2001,both,overall,38073
Kedah,1/1/2002,both,overall,36604
Kedah,1/1/2003,both,overall,35407
Kedah,1/1/2004,both,overall,35059
Kedah,1/1/2005,both,overall,34254
Kedah,1/1/2006,both,overall,33864
Kedah,1/1/2007,both,overall,33963
Kedah,1/1/2008,both,overall,35415
Kedah,1/1/2009,both,overall,36019
Kedah,1/1/2010,both,overall,35128
Kedah,1/1/2011,both,overall,35937
Kedah,1/1/2012,both,overall,36390
Kedah,1/1/2013,both,overall,35032
Kedah,1/1/2014,both,overall,36505
Kedah,1/1/2015,both,overall,36784
Kedah,1/1/2016,both,overall,35967
Kedah,1/1/2017,both,overall,36693
Kedah,1/1/2018,both,overall,35643
Kedah,1/1/2019,both,overall,34511
Kedah,1/1/2020,both,overall,33828
Kedah,1/1/2021,both,overall,33040
Kedah,1/1/2022,both,overall,30796
Kedah,1/1/2023,both,overall,33811
Kelantan,1/1/2000,both,overall,40404
Kelantan,1/1/2001,both,overall,38186
Kelantan,1/1/2002,both,overall,37297
Kelantan,1/1/2003,both,overall,35686
Kelantan,1/1/2004,both,overall,35113
Kelantan,1/1/2005,both,overall,34088
Kelantan,1/1/2006,both,overall,33659
Kelantan,1/1/2007,both,overall,33800
Kelantan,1/1/2008,both,overall,34842
Kelantan,1/1/2009,both,overall,35715
Kelantan,1/1/2010,both,overall,36009
Kelantan,1/1/2011,both,overall,37679
Kelantan,1/1/2012,both,overall,37025
Kelantan,1/1/2013,both,overall,36413
Kelantan,1/1/2014,both,overall,39279
Kelantan,1/1/2015,both,overall,39108
Kelantan,1/1/2016,both,overall,38455
Kelantan,1/1/2017,both,overall,39122
Kelantan,1/1/2018,both,overall,38360
Kelantan,1/1/2019,both,overall,36858
Kelantan,1/1/2020,both,overall,36275
Kelantan,1/1/2021,both,overall,34764
Kelantan,1/1/2022,both,overall,33808
Kelantan,1/1/2023,both,overall,35705
Melaka,1/1/2000,both,overall,15304
Melaka,1/1/2001,both,overall,14317
Melaka,1/1/2002,both,overall,13810
Melaka,1/1/2003,both,overall,13898
Melaka,1/1/2004,both,overall,13548
Melaka,1/1/2005,both,overall,13341
Melaka,1/1/2006,both,overall,12946
Melaka,1/1/2007,both,overall,13444
Melaka,1/1/2008,both,overall,13619
Melaka,1/1/2009,both,overall,13456
Melaka,1/1/2010,both,overall,13010
Melaka,1/1/2011,both,overall,13976
Melaka,1/1/2012,both,overall,14278
Melaka,1/1/2013,both,overall,13692
Melaka,1/1/2014,both,overall,14568
Melaka,1/1/2015,both,overall,14554
Melaka,1/1/2016,both,overall,14402
Melaka,1/1/2017,both,overall,14389
Melaka,1/1/2018,both,overall,14388
Melaka,1/1/2019,both,overall,14136
Melaka,1/1/2020,both,overall,13855
Melaka,1/1/2021,both,overall,13192
Melaka,1/1/2022,both,overall,13105
Melaka,1/1/2023,both,overall,13583
Negeri Sembilan,1/1/2000,both,overall,19243
Negeri Sembilan,1/1/2001,both,overall,17670
Negeri Sembilan,1/1/2002,both,overall,17647
Negeri Sembilan,1/1/2003,both,overall,17272
Negeri Sembilan,1/1/2004,both,overall,17085
Negeri Sembilan,1/1/2005,both,overall,16838
Negeri Sembilan,1/1/2006,both,overall,16622
Negeri Sembilan,1/1/2007,both,overall,17195
Negeri Sembilan,1/1/2008,both,overall,17351
Negeri Sembilan,1/1/2009,both,overall,17360
Negeri Sembilan,1/1/2010,both,overall,16939
Negeri Sembilan,1/1/2011,both,overall,17670
Negeri Sembilan,1/1/2012,both,overall,17903
Negeri Sembilan,1/1/2013,both,overall,17509
Negeri Sembilan,1/1/2014,both,overall,18676
Negeri Sembilan,1/1/2015,both,overall,18423
Negeri Sembilan,1/1/2016,both,overall,18036
Negeri Sembilan,1/1/2017,both,overall,18078
Negeri Sembilan,1/1/2018,both,overall,18177
Negeri Sembilan,1/1/2019,both,overall,17464
Negeri Sembilan,1/1/2020,both,overall,17120
Negeri Sembilan,1/1/2021,both,overall,16777
Negeri Sembilan,1/1/2022,both,overall,15991
Negeri Sembilan,1/1/2023,both,overall,16570
Pahang,1/1/2000,both,overall,29555
